"","yearSeason","slugSeason","urlBREF","rankVotes","namePlayer","agePlayer","slugPlayerBREF","slugTeam","pctVote","votesFirst","pointsMax","pointsVote","isWinner"
"1",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",1,"Jalen Rose",27,"roseja01","IND",0.264,32,"121",32,TRUE
"2",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",2,"Dirk Nowitzki",21,"nowitdi01","DAL",0.207,25,"121",25,FALSE
"3",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",3,"Jerry Stackhouse",25,"stackje01","DET",0.157,19,"121",19,FALSE
"4",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",4,"Austin Croshere",24,"croshau01","IND",0.14,17,"121",17,FALSE
"5",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",5,"Tracy McGrady",20,"mcgratr01","TOR",0.058,7,"121",7,FALSE
"6",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",6,"John Amaechi",29,"amaecjo01","ORL",0.033,4,"121",4,FALSE
"7",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",6,"Ruben Patterson",24,"patteru01","SEA",0.033,4,"121",4,FALSE
"8",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",8,"Michael Dickerson",24,"dickemi01","VAN",0.025,3,"121",3,FALSE
"9",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",8,"Rodney Rogers",28,"rogerro01","PHO",0.025,3,"121",3,FALSE
"10",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",10,"Shaquille O'Neal",27,"onealsh01","LAL",0.017,2,"121",2,FALSE
"11",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",11,"Kobe Bryant",21,"bryanko01","LAL",0.008,1,"121",1,FALSE
"12",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",11,"Derrick Coleman",32,"colemde01","CHH",0.008,1,"121",1,FALSE
"13",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",11,"Sean Elliott",31,"elliose01","SAS",0.008,1,"121",1,FALSE
"14",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",11,"Rashard Lewis",20,"lewisra02","SEA",0.008,1,"121",1,FALSE
"15",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",11,"Bob Sura",26,"surabo01","CLE",0.008,1,"121",1,FALSE
"16",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",1,"Tracy McGrady",21,"mcgratr01","ORL",0.597,74,"124",74,TRUE
"17",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",2,"Peja Stojakovic",23,"stojape01","SAC",0.113,14,"124",14,FALSE
"18",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",3,"Steve Nash",26,"nashst01","DAL",0.097,12,"124",12,FALSE
"19",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",4,"Shawn Marion",22,"mariosh01","PHO",0.048,6,"124",6,FALSE
"20",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",5,"Baron Davis",21,"davisba01","CHH",0.032,4,"124",4,FALSE
"21",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",5,"Dirk Nowitzki",22,"nowitdi01","DAL",0.032,4,"124",4,FALSE
"22",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",7,"Travis Best",28,"besttr01","IND",0.016,2,"124",2,FALSE
"23",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",7,"Jason Terry",23,"terryja01","ATL",0.016,2,"124",2,FALSE
"24",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",9,"Richard Hamilton",22,"hamilri01","WAS",0.008,1,"124",1,FALSE
"25",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",9,"Donyell Marshall",27,"marshdo01","UTA",0.008,1,"124",1,FALSE
"26",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",9,"Jeff McInnis",26,"mcinnje01","LAC",0.008,1,"124",1,FALSE
"27",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",9,"Ben Wallace",26,"wallabe01","DET",0.008,1,"124",1,FALSE
"28",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",9,"Bonzi Wells",24,"wellsbo01","POR",0.008,1,"124",1,FALSE
"29",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",9,"Alvin Williams",26,"willial02","TOR",0.008,1,"124",1,FALSE
"30",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",1,"Jermaine O'Neal",23,"onealje01","IND",0.413,52,"126",52,TRUE
"31",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",2,"Ben Wallace",27,"wallabe01","DET",0.127,16,"126",16,FALSE
"32",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",3,"Steve Nash",27,"nashst01","DAL",0.071,9,"126",9,FALSE
"33",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",4,"Jerry Stackhouse",27,"stackje01","DET",0.056,7,"126",7,FALSE
"34",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",5,"Brent Barry",30,"barrybr01","SEA",0.048,6,"126",6,FALSE
"35",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",6,"Wally Szczerbiak",24,"szczewa02","MIN",0.04,5,"126",5,FALSE
"36",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",7,"Troy Hudson",25,"hudsotr01","ORL",0.032,4,"126",4,FALSE
"37",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",7,"Michael Olowokandi",26,"olowomi01","LAC",0.032,4,"126",4,FALSE
"38",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",9,"Kenyon Martin",24,"martike01","NJN",0.024,3,"126",3,FALSE
"39",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",9,"Andre Miller",25,"millean02","CLE",0.024,3,"126",3,FALSE
"40",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",9,"Michael Redd",22,"reddmi01","MIL",0.024,3,"126",3,FALSE
"41",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",12,"Desmond Mason",24,"masonde01","SEA",0.016,2,"126",2,FALSE
"42",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",12,"Gary Payton",33,"paytoga01","SEA",0.016,2,"126",2,FALSE
"43",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",12,"Kenny Thomas",24,"thomake01","HOU",0.016,2,"126",2,FALSE
"44",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",12,"Hedo Turkoglu",22,"turkohe01","SAC",0.016,2,"126",2,FALSE
"45",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Ricky Davis",22,"davisri01","CLE",0.008,1,"126",1,FALSE
"46",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Bobby Jackson",28,"jacksbo01","SAC",0.008,1,"126",1,FALSE
"47",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Todd MacCulloch",26,"maccuto01","NJN",0.008,1,"126",1,FALSE
"48",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Lee Nailon",26,"nailole01","CHH",0.008,1,"126",1,FALSE
"49",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Wesley Person",30,"persowe01","CLE",0.008,1,"126",1,FALSE
"50",2002,"2001-02","https://www.basketball-reference.com/awards/awards_2002.html",16,"Jason Terry",24,"terryja01","ATL",0.008,1,"126",1,FALSE
"51",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",1,"Gilbert Arenas",21,"arenagi01","GSW",0.488,41,"590",288,TRUE
"52",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",2,"Matt Harpring",26,"harprma01","UTA",0.397,29,"590",234,FALSE
"53",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",3,"Troy Murphy",22,"murphtr01","GSW",0.244,18,"590",144,FALSE
"54",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",4,"Tony Parker",20,"parketo01","SAS",0.242,14,"590",143,FALSE
"55",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",5,"Ricky Davis",23,"davisri01","CLE",0.073,2,"590",43,FALSE
"56",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",6,"Chauncey Billups",26,"billuch01","DET",0.071,3,"590",42,FALSE
"57",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",7,"Jason Williams",27,"willija02","MEM",0.068,3,"590",40,FALSE
"58",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",8,"Richard Jefferson",22,"jefferi01","NJN",0.039,2,"590",23,FALSE
"59",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",9,"Troy Hudson",26,"hudsotr01","MIN",0.024,1,"590",14,FALSE
"60",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",10,"Corey Maggette",23,"maggeco01","LAC",0.02,0,"590",12,FALSE
"61",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",11,"Bobby Jackson",29,"jacksbo01","SAC",0.019,0,"590",11,FALSE
"62",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",12,"Michael Redd",23,"reddmi01","MIL",0.015,1,"590",9,FALSE
"63",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",13,"Metta World Peace",23,"artesro01","IND",0.012,1,"590",7,FALSE
"64",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",14,"Andrei Kirilenko",21,"kirilan01","UTA",0.008,1,"590",5,FALSE
"65",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",14,"Dirk Nowitzki",24,"nowitdi01","DAL",0.008,1,"590",5,FALSE
"66",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",14,"Jermaine O'Neal",24,"onealje01","IND",0.008,1,"590",5,FALSE
"67",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",14,"Stephon Marbury",25,"marbust01","PHO",0.008,0,"590",5,FALSE
"68",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",18,"Stephen Jackson",24,"jacksst02","SAS",0.007,0,"590",4,FALSE
"69",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",18,"Tracy McGrady",23,"mcgratr01","ORL",0.007,0,"590",4,FALSE
"70",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",18,"Brad Miller",26,"millebr01","IND",0.007,0,"590",4,FALSE
"71",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",21,"Brent Barry",31,"barrybr01","SEA",0.005,0,"590",3,FALSE
"72",2003,"2002-03","https://www.basketball-reference.com/awards/awards_2003.html",21,"Kevin Garnett",26,"garneke01","MIN",0.005,0,"590",3,FALSE
