"","yearSeason","slugSeason","urlBREF","rankVotes","namePlayer","agePlayer","slugPlayerBREF","slugTeam","pctVote","votesFirst","pointsMax","pointsVote","isWinner"
"1",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",1,"Shaquille O'Neal",27,"onealsh01","LAL",0.998,120,"1210",1207,TRUE
"2",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",2,"Kevin Garnett",23,"garneke01","MIN",0.337,0,"1210",408,FALSE
"3",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",3,"Alonzo Mourning",29,"mournal01","MIA",0.303,0,"1210",367,FALSE
"4",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",4,"Karl Malone",36,"malonka01","UTA",0.258,0,"1210",312,FALSE
"5",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",5,"Tim Duncan",23,"duncati01","SAS",0.205,0,"1210",248,FALSE
"6",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",6,"Gary Payton",31,"paytoga01","SEA",0.149,0,"1210",180,FALSE
"7",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",7,"Allen Iverson",24,"iversal01","PHI",0.109,1,"1210",132,FALSE
"8",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",8,"Grant Hill",27,"hillgr01","DET",0.093,0,"1210",113,FALSE
"9",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",9,"Chris Webber",26,"webbech01","SAC",0.079,0,"1210",96,FALSE
"10",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",10,"Vince Carter",23,"cartevi01","TOR",0.042,0,"1210",51,FALSE
"11",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",11,"Jason Kidd",26,"kiddja01","PHO",0.021,0,"1210",25,FALSE
"12",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",12,"Kobe Bryant",21,"bryanko01","LAL",0.002,0,"1210",3,FALSE
"13",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",13,"Darrell Armstrong",31,"armstda01","ORL",0.001,0,"1210",1,FALSE
"14",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",13,"Michael Finley",26,"finlemi01","DAL",0.001,0,"1210",1,FALSE
"15",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",13,"Reggie Miller",34,"millere01","IND",0.001,0,"1210",1,FALSE
"16",2000,"1999-00","https://www.basketball-reference.com/awards/awards_2000.html",13,"Jalen Rose",27,"roseja01","IND",0.001,0,"1210",1,FALSE
"17",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",1,"Allen Iverson",25,"iversal01","PHI",0.904,93,"1240",1121,TRUE
"18",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",2,"Tim Duncan",24,"duncati01","SAS",0.569,18,"1240",706,FALSE
"19",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",3,"Shaquille O'Neal",28,"onealsh01","LAL",0.466,7,"1240",578,FALSE
"20",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",4,"Chris Webber",27,"webbech01","SAC",0.42,5,"1240",521,FALSE
"21",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",5,"Kevin Garnett",24,"garneke01","MIN",0.122,1,"1240",151,FALSE
"22",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",6,"Tracy McGrady",21,"mcgratr01","ORL",0.052,0,"1240",64,FALSE
"23",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",7,"Karl Malone",37,"malonka01","UTA",0.017,0,"1240",21,FALSE
"24",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",8,"Jason Kidd",27,"kiddja01","PHO",0.015,0,"1240",18,FALSE
"25",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",9,"Kobe Bryant",22,"bryanko01","LAL",0.009,0,"1240",11,FALSE
"26",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",10,"David Robinson",35,"robinda01","SAS",0.006,0,"1240",8,FALSE
"27",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",11,"Ray Allen",25,"allenra02","MIL",0.006,0,"1240",7,FALSE
"28",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",11,"Vince Carter",24,"cartevi01","TOR",0.006,0,"1240",7,FALSE
"29",2001,"2000-01","https://www.basketball-reference.com/awards/awards_2001.html",13,"Paul Pierce",23,"piercpa01","BOS",0.004,0,"1240",5,FALSE
